year,origin,destination,foreigners male arrivals,foreigners female arrivals,total foreigners,total male,total female,total
2000,Hessen,Baden-Wurttemberg,1616,1096,2712,7593,7314,14907
2000,Hessen,Bayern,1425,935,2360,7424,6963,14387
2000,Hessen,Saarland,60,56,116,455,403,858
2000,Hessen,Berlin,297,242,539,2100,1947,4047
2000,Hessen,Brandenburg,55,35,90,564,551,1115
2000,Hessen,Mecklenburg-Vorpommern,21,8,29,306,289,595
2000,Hessen,Sachsen,117,83,200,1097,970,2067
2000,Hessen,Sachsen-Anhalt,80,39,119,510,483,993
2000,Hessen,Thuringen,103,55,158,1467,1391,2858
2000,Hessen,Insgesamt,7878,5307,13185,43584,41458,85042
2000,Rheinland-Pfalz,Schleswig-Holstein,47,40,87,517,524,1041
2000,Rheinland-Pfalz,Hamburg,59,54,113,390,369,759
2000,Rheinland-Pfalz,Niedersachsen,147,139,286,1357,1408,2765
2000,Rheinland-Pfalz,Bremen,17,15,32,125,101,226
2000,Rheinland-Pfalz,Nordrhein-Westfalen,1175,946,2121,7707,7765,15472
2000,Rheinland-Pfalz,Hessen,1318,998,2316,6291,6087,12378
2000,Rheinland-Pfalz,Rheinland-Pfalz,0,0,0,0,0,0
2000,Rheinland-Pfalz,Baden-Wurttemberg,1275,973,2248,6626,6202,12828
2000,Rheinland-Pfalz,Bayern,542,359,901,2966,2746,5712
2000,Rheinland-Pfalz,Saarland,164,154,318,1747,1725,3472
2000,Rheinland-Pfalz,Berlin,121,111,232,894,802,1696
2000,Rheinland-Pfalz,Brandenburg,20,13,33,341,307,648
2000,Rheinland-Pfalz,Mecklenburg-Vorpommern,9,6,15,173,152,325
2000,Rheinland-Pfalz,Sachsen,54,19,73,576,431,1007
2000,Rheinland-Pfalz,Sachsen-Anhalt,41,28,69,311,272,583
2000,Rheinland-Pfalz,Thuringen,56,25,81,386,315,701
2000,Rheinland-Pfalz,Insgesamt,5045,3880,8925,30407,29206,59613
2000,Baden-Wurttemberg,Schleswig-Holstein,117,107,224,1271,1310,2581
2000,Baden-Wurttemberg,Hamburg,138,128,266,1328,1277,2605
2000,Baden-Wurttemberg,Niedersachsen,447,325,772,3407,3247,6654
2000,Baden-Wurttemberg,Bremen,57,42,99,321,334,655
2000,Baden-Wurttemberg,Nordrhein-Westfalen,1816,1320,3136,8207,7829,16036
2000,Baden-Wurttemberg,Hessen,1774,1153,2927,7769,7084,14853
2000,Baden-Wurttemberg,Rheinland-Pfalz,1339,998,2337,6655,6362,13017
2000,Baden-Wurttemberg,Baden-Wurttemberg,0,0,0,0,0,0
2000,Baden-Wurttemberg,Bayern,2950,2028,4978,16906,16000,32906
2000,Baden-Wurttemberg,Saarland,135,128,263,871,805,1676
2000,Baden-Wurttemberg,Berlin,446,344,790,3198,2621,5819
2000,Baden-Wurttemberg,Brandenburg,131,83,214,1184,1123,2307
2000,Baden-Wurttemberg,Mecklenburg-Vorpommern,34,22,56,624,618,1242
2000,Baden-Wurttemberg,Sachsen,251,176,427,2639,2261,4900
2000,Baden-Wurttemberg,Sachsen-Anhalt,101,39,140,839,764,1603
2000,Baden-Wurttemberg,Thuringen,92,57,149,1060,961,2021
2000,Baden-Wurttemberg,Insgesamt,9828,6950,16778,56279,52596,108875
2000,Bayern,Schleswig-Holstein,154,121,275,1298,1301,2599
2000,Bayern,Hamburg,246,154,400,1313,1178,2491
2000,Bayern,Niedersachsen,478,285,763,3178,2988,6166
2000,Bayern,Bremen,73,62,135,338,336,674
2000,Bayern,Nordrhein-Westfalen,1763,1156,2919,7596,6873,14469
2000,Bayern,Hessen,1451,944,2395,6161,5668,11829
2000,Bayern,Rheinland-Pfalz,471,302,773,2370,2157,4527
2000,Bayern,Baden-Wurttemberg,2959,1953,4912,15298,14554,29852
2000,Bayern,Bayern,0,0,0,0,0,0
2000,Bayern,Saarland,74,47,121,392,353,745
2000,Bayern,Berlin,503,393,896,3227,2791,6018
2000,Bayern,Brandenburg,46,40,86,892,802,1694
2000,Bayern,Mecklenburg-Vorpommern,27,19,46,436,404,840
2000,Bayern,Sachsen,265,125,390,3333,2886,6219
2000,Bayern,Sachsen-Anhalt,117,38,155,963,794,1757
2000,Bayern,Thuringen,170,73,243,1988,1834,3822
2000,Bayern,Insgesamt,8797,5712,14509,48783,44919,93702
2000,Saarland,Schleswig-Holstein,9,13,22,71,63,134
2000,Saarland,Hamburg,32,12,44,98,69,167
2000,Saarland,Niedersachsen,38,32,70,252,237,489
2000,Saarland,Bremen,21,11,32,45,27,72
2000,Saarland,Nordrhein-Westfalen,266,213,479,884,902,1786
2000,Saarland,Hessen,104,98,202,555,564,1119
2000,Saarland,Rheinland-Pfalz,191,173,364,2014,1899,3913
2000,Saarland,Baden-Wurttemberg,172,156,328,1129,1040,2169
2000,Saarland,Bayern,108,82,190,606,530,1136
2000,Saarland,Saarland,0,0,0,0,0,0
2000,Saarland,Berlin,55,46,101,215,192,407
2000,Saarland,Brandenburg,4,2,6,51,56,107
2000,Saarland,Mecklenburg-Vorpommern,29,17,46,52,36,88
2000,Saarland,Sachsen,26,7,33,87,61,148
2000,Saarland,Sachsen-Anhalt,6,2,8,50,34,84
2000,Saarland,Thuringen,5,5,10,53,41,94
2000,Saarland,Insgesamt,1066,869,1935,6162,5751,11913
2000,Berlin,Schleswig-Holstein,70,67,137,1312,1245,2557
2000,Berlin,Hamburg,191,131,322,1078,979,2057
2000,Berlin,Niedersachsen,332,267,599,2712,2685,5397
2000,Berlin,Bremen,36,30,66,257,258,515
2000,Berlin,Nordrhein-Westfalen,775,617,1392,3909,3600,7509
2000,Berlin,Hessen,339,248,587,1910,1696,3606
2000,Berlin,Rheinland-Pfalz,134,103,237,785,701,1486
2000,Berlin,Baden-Wurttemberg,521,414,935,2965,2686,5651
2000,Berlin,Bayern,691,525,1216,3778,3296,7074
2000,Berlin,Saarland,24,19,43,135,129,264
2000,Berlin,Berlin,0,0,0,0,0,0
2000,Berlin,Brandenburg,696,499,1195,19355,19357,38712
2000,Berlin,Mecklenburg-Vorpommern,152,97,249,1313,1282,2595
2000,Berlin,Sachsen,174,110,284,1328,1190,2518
2000,Berlin,Sachsen-Anhalt,113,63,176,792,708,1500
2000,Berlin,Thuringen,48,35,83,505,482,987
2000,Berlin,Insgesamt,4296,3225,7521,42134,40294,82428
2000,Brandenburg,Schleswig-Holstein,27,15,42,732,770,1502
2000,Brandenburg,Hamburg,39,26,65,532,594,1126
2000,Brandenburg,Niedersachsen,104,82,186,2191,2334,4525
2000,Brandenburg,Bremen,23,14,37,154,167,321
2000,Brandenburg,Nordrhein-Westfalen,189,131,320,2679,2658,5337
2000,Brandenburg,Hessen,84,51,135,951,932,1883
2000,Brandenburg,Rheinland-Pfalz,86,29,115,689,618,1307
2000,Brandenburg,Baden-Wurttemberg,204,142,346,2636,2517,5153
2000,Brandenburg,Bayern,224,127,351,2767,2615,5382
2000,Brandenburg,Saarland,2,6,8,65,64,129
2000,Brandenburg,Berlin,1199,755,1954,10629,10937,21566
2000,Brandenburg,Brandenburg,0,0,0,0,0,0
2000,Brandenburg,Mecklenburg-Vorpommern,57,35,92,1377,1481,2858
2000,Brandenburg,Sachsen,119,106,225,1968,1992,3960
2000,Brandenburg,Sachsen-Anhalt,78,44,122,1033,1042,2075
2000,Brandenburg,Thuringen,18,13,31,488,431,919
2000,Brandenburg,Insgesamt,2453,1576,4029,28891,29152,58043
2000,Mecklenburg-Vorpommern,Schleswig-Holstein,120,100,220,3387,3453,6840
2000,Mecklenburg-Vorpommern,Hamburg,261,145,406,2321,2479,4800
2000,Mecklenburg-Vorpommern,Niedersachsen,227,144,371,2718,2702,5420
2000,Mecklenburg-Vorpommern,Bremen,29,21,50,297,261,558
2000,Mecklenburg-Vorpommern,Nordrhein-Westfalen,229,147,376,1662,1690,3352
2000,Mecklenburg-Vorpommern,Hessen,79,43,122,562,538,1100
2000,Mecklenburg-Vorpommern,Rheinland-Pfalz,24,19,43,324,359,683
2000,Mecklenburg-Vorpommern,Baden-Wurttemberg,118,93,211,1188,1118,2306
2000,Mecklenburg-Vorpommern,Bayern,121,78,199,1148,1068,2216
2000,Mecklenburg-Vorpommern,Saarland,3,2,5,43,45,88
2000,Mecklenburg-Vorpommern,Berlin,210,127,337,1748,1845,3593
2000,Mecklenburg-Vorpommern,Brandenburg,57,34,91,1265,1285,2550
2000,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,0,0,0,0,0,0
2000,Mecklenburg-Vorpommern,Sachsen,45,29,74,636,641,1277
2000,Mecklenburg-Vorpommern,Sachsen-Anhalt,29,21,50,403,390,793
2000,Mecklenburg-Vorpommern,Thuringen,9,5,14,262,272,534
2000,Mecklenburg-Vorpommern,Insgesamt,1561,1008,2569,17964,18146,36110
2000,Sachsen,Schleswig-Holstein,42,24,66,525,520,1045
2000,Sachsen,Hamburg,145,68,213,488,438,926
2000,Sachsen,Niedersachsen,202,143,345,1975,1953,3928
2000,Sachsen,Bremen,21,19,40,118,151,269
